,Figurinha,Sim 1,Sim 2,Sim 3,Sim 4,Sim 5,Sim 6,Sim 7,Sim 8,Sim 9,Sim 10,Sim 11,Sim 12,Sim 13,Sim 14,Sim 15,Sim 16,Sim 17,Sim 18,Sim 19,Sim 20,Sim 21,Sim 22,Sim 23,Sim 24,Sim 25,Sim 26,Sim 27,Sim 28,Sim 29,Sim 30,Sim 31,Sim 32,Sim 33,Sim 34,Sim 35,Sim 36,Sim 37,Sim 38,Sim 39,Sim 40,Sim 41,Sim 42,Sim 43,Sim 44,Sim 45,Sim 46,Sim 47,Sim 48,Sim 49,Sim 50,Sim 51,Sim 52,Sim 53,Sim 54,Sim 55,Sim 56,Sim 57,Sim 58,Sim 59,Sim 60,Sim 61,Sim 62,Sim 63,Sim 64,Sim 65,Sim 66,Sim 67,Sim 68,Sim 69,Sim 70,Sim 71,Sim 72,Sim 73,Sim 74,Sim 75,Sim 76,Sim 77,Sim 78,Sim 79,Sim 80,Sim 81,Sim 82,Sim 83,Sim 84,Sim 85,Sim 86,Sim 87,Sim 88,Sim 89,Sim 90,Sim 91,Sim 92,Sim 93,Sim 94,Sim 95,Sim 96,Sim 97,Sim 98,Sim 99,Sim 100,Valores,Teóricos
418,419,2,3,1,3,2,4,2,5,1,1,4,2,3,1,1,2,2,2,5,2,3,4,3,3,1,6,11,4,3,1,2,1,1,1,1,2,6,1,1,1,1,2,1,1,1,4,1,3,1,2,2,1,1,2,4,3,1,2,2,2,9,1,3,4,1,1,6,1,3,6,5,5,3,2,1,1,2,3,1,1,1,4,1,1,5,9,1,2,1,1,7,2,5,2,1,2,1,1,4,6,2.9262672811059907,5.636772919365457
419,420,7,1,2,1,1,2,1,5,11,2,1,1,5,1,6,3,7,2,5,4,3,4,1,4,1,2,2,1,5,10,1,1,1,2,3,1,2,3,9,1,2,1,2,1,4,1,3,1,5,10,1,2,3,1,4,3,1,1,5,2,1,2,3,1,4,1,5,4,1,2,2,1,1,5,3,1,2,2,8,3,1,1,1,5,1,6,9,2,1,3,7,1,1,1,1,1,2,4,2,2,2.939814814814815,5.702696330589849
420,421,3,5,2,1,3,1,2,2,2,4,2,1,2,2,2,4,1,1,2,2,2,3,7,4,1,4,6,4,4,1,1,3,9,2,5,1,7,6,1,2,5,1,3,2,7,1,1,5,3,3,2,1,11,1,2,1,2,5,8,1,7,5,1,5,4,1,1,2,1,1,1,2,2,3,5,7,3,1,6,1,4,2,8,4,3,1,2,6,2,5,2,1,1,4,2,4,1,4,4,3,2.953488372093023,5.769605191995673
421,422,2,8,7,1,3,3,1,7,3,4,1,3,1,1,4,8,1,5,4,4,8,3,1,4,1,5,7,1,1,2,1,2,1,1,1,1,2,1,1,2,3,1,2,4,3,3,3,1,2,2,1,2,1,5,2,4,2,1,1,1,3,2,1,1,3,1,1,1,6,2,1,8,2,1,1,1,11,1,6,1,1,5,3,1,1,2,3,3,2,3,1,3,3,6,2,1,3,7,2,1,2.967289719626168,5.837518560572976
422,423,2,2,3,9,1,7,4,9,1,2,5,2,1,1,9,5,2,1,3,5,2,1,3,2,2,4,4,3,2,3,6,1,6,1,1,1,4,3,1,1,3,3,4,7,6,6,1,1,1,1,2,3,1,7,1,1,2,1,3,1,13,6,6,4,3,4,1,2,5,1,1,1,1,3,1,13,9,4,3,1,1,1,5,1,1,8,6,4,7,6,4,3,3,2,1,9,1,14,2,1,2.9812206572769955,5.906455950098085
423,424,5,1,3,4,1,1,1,1,2,5,1,4,1,4,2,2,1,1,5,2,1,2,3,2,1,2,6,4,4,2,2,2,7,3,3,3,1,2,1,1,1,8,4,3,3,1,3,3,2,1,1,3,1,5,4,1,1,3,1,2,1,1,1,2,10,2,2,4,6,1,6,1,3,1,1,2,2,4,2,2,5,3,3,3,3,3,5,3,10,2,1,5,1,1,1,3,2,5,1,1,2.9952830188679247,5.976437344250623
424,425,8,3,2,2,1,5,1,1,2,2,2,1,1,4,1,3,4,5,1,1,1,1,1,1,1,7,2,3,1,1,2,2,3,1,1,7,1,5,5,7,1,7,11,2,3,2,1,5,2,10,3,2,1,7,2,3,8,1,1,2,7,9,2,4,2,3,5,2,1,7,1,3,6,1,1,1,1,4,1,4,1,1,1,2,1,2,2,6,1,1,4,3,4,3,2,5,4,1,1,8,3.009478672985782,6.047483210170482
425,426,3,5,2,2,2,10,1,3,6,1,3,3,6,4,5,1,3,13,6,13,8,1,5,5,1,2,2,4,3,3,1,5,7,12,1,4,2,3,6,4,3,2,4,2,2,7,7,1,1,4,2,3,1,4,7,12,3,2,1,3,1,1,2,4,4,5,5,1,2,1,1,5,2,4,1,3,5,7,1,4,6,2,2,2,4,4,2,3,11,1,4,1,1,3,2,3,4,3,2,2,3.0238095238095237,6.119614512471656
426,427,1,2,7,1,4,2,1,1,1,2,2,4,1,1,4,7,1,2,2,4,2,1,5,2,5,2,1,2,2,1,1,2,2,1,1,5,2,2,5,1,1,1,1,9,2,1,1,2,1,3,1,7,8,1,3,1,1,2,2,1,7,1,1,3,8,3,2,1,1,3,4,4,1,2,3,2,2,5,3,14,4,2,3,1,1,1,2,1,1,2,2,3,1,1,7,4,1,5,1,2,3.0382775119617227,6.1928527277305925
427,428,2,1,1,2,1,3,1,1,10,8,3,10,7,8,5,3,1,4,1,2,4,2,1,2,8,1,2,4,3,4,6,2,6,8,4,1,1,8,2,2,5,1,6,1,8,2,4,1,3,1,1,1,7,1,2,4,5,3,4,1,1,1,6,1,1,3,1,1,5,1,3,5,3,1,3,1,3,4,1,3,2,3,1,3,1,7,1,3,1,1,8,2,2,7,7,1,3,2,3,3,3.0528846153846154,6.267219859467455
